,TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
628,180.40547180000002,8.912109375,8.875976563,9.08203125,57.06835938,0.150268555,51.47705078,27.91748047,6966.279785,16.48534393,8.018904686
629,180.4664001,8.909179688,8.875976563,9.073242188,57.11513901,0.150756836,51.53808594,28.05786133,7136.367187999999,16.71912003,7.963449477999999
630,180.4359436,8.918945313,8.8828125,9.077148438,57.02158356,0.150695801,51.45263672,27.87475586,7008.208984000001,16.63692665,8.024001122
631,180.4968719,8.911132813,8.879882813,9.095703125,57.25547028,0.150085449,51.39160156,27.98461914,6836.71875,16.39008331,7.968002319
632,180.4664001,8.939453125,8.907226563,9.090820313,57.0917511,0.152526855,51.71508789,28.22875977,6860.780762,17.32305717,8.033647537
633,180.4359436,8.92578125,8.890625,9.107421875,57.11513901,0.15161132800000002,51.80053711,28.55834961,7292.457031,17.49710083,7.976134299999999
634,180.375,8.921875,8.888671875,9.078125,57.20869446,0.151672363,51.76391602,28.50341797,7069.772948999999,17.63721848,7.965952872999999
648,180.5578156,8.837890625,8.809570313,9.018554688,56.86955643,0.148376465,51.30004883,27.96020508,6917.482422,16.80800438,8.002621651
656,180.2988281,8.857421875,8.825195313,9.05859375,56.86955643,0.149414063,51.32446289,28.01513672,6750.018066,16.52637863,8.063588142
665,180.3140564,8.965820313,8.927734375,9.114257813,57.20869446,0.154846191,52.11791992,28.67431641,7223.5,17.63010406,8.019104003999999
666,180.375,8.963867188,8.923828125,9.127929688,57.22038651,0.154785156,52.23999023,28.83911133,7412.0,18.05907249,7.94609499
667,180.375,8.959960938,8.920898438,9.118164063,57.20869446,0.154052734,52.11791992,28.79638672,6916.600098000001,17.76877213,8.000954627999999
668,180.2835999,8.9609375,8.923828125,9.114257813,57.16191483,0.15344238300000002,52.00805664,28.69262695,7135.511719,17.72268105,8.001864433
669,180.375,8.944335938,8.905273438,9.1015625,57.16191483,0.151794434,51.82495117,28.53393555,7010.385742,17.42926407,8.01604557
670,180.34452819999998,8.9375,8.901367188,9.09375,57.25547028,0.15112304699999998,51.69067383,28.37524414,7064.591309,17.11791992,7.983388424
671,180.40547180000002,8.896484375,8.861328125,9.064453125,57.0098877,0.150756836,51.71508789,28.46069336,7085.726562999999,17.42196083,8.024028778
672,180.4968719,8.919921875,8.881835938,9.069335938,57.17361069,0.149719238,51.45874023,28.2043457,7093.904785,16.98115921,8.005632401
673,180.375,8.923828125,8.885742188,9.076171875,57.24377441,0.1484375,51.30615234,28.125,7182.828125,16.80219269,8.02350235
674,180.4968719,8.901367188,8.866210938,9.0703125,57.12683105,0.148620605,51.19628906,28.02124023,7028.210937999999,16.82021713,7.992419243
675,180.4359436,8.919921875,8.883789063,9.099609375,57.33732986,0.14782714800000002,51.14746094,28.02734375,6889.632812999999,16.2686615,7.9613809589999995
676,180.2835999,8.892578125,8.860351563,9.065429688,57.0917511,0.14782714800000002,51.14746094,27.94189453,7028.210937999999,16.30415535,8.021184921
677,180.40547180000002,8.91015625,8.876953125,9.068359375,57.18530273,0.147766113,51.09863281,27.95410156,7181.978026999999,16.28178596,7.982920647
678,180.34452819999998,8.915039063,8.87890625,9.065429688,57.23208237,0.14654541,50.93994141,27.86254883,7021.694823999999,15.91243744,7.968849659
679,180.40547180000002,8.912109375,8.877929688,9.078125,57.15022278,0.147888184,51.171875,27.92358398,7344.165526999999,16.79734802,8.030748367000001
680,180.3140564,8.9296875,8.892578125,9.079101563,57.18530273,0.148864746,51.37939453,28.17993164,6895.831543000001,16.83143234,8.021696091
681,180.375,8.9296875,8.892578125,9.079101563,57.20869446,0.149963379,51.55029297,28.30810547,7121.8125,16.62746048,7.992023467999999
682,180.3292999,8.970703125,8.931640625,9.131835938,57.32563782,0.152404785,51.85546875,28.57666016,6945.220215,17.79987526,8.017207146
683,180.26835630000002,8.951171875,8.909179688,9.098632813,57.04497147,0.154541016,52.25830078,28.70483398,7070.20459,17.53743362,7.987728596
684,180.2988281,8.998046875,8.955078125,9.137695313,57.27885818,0.15563964800000002,52.28271484,28.89404297,7075.382323999999,18.8523922,8.021559715
685,180.2378845,8.993164063,8.951171875,9.151367188,57.31394196,0.15539550800000002,52.37426758,28.90625,7134.228515999999,18.93401146,7.990897179
686,180.3292999,9.0078125,8.961914063,9.172851563,57.25547028,0.157165527,52.64282227,28.9855957,7146.623047,18.63870621,7.973165989
688,180.26835630000002,8.994140625,8.953125,9.139648438,57.26716614,0.155456543,52.27050781,28.85131836,6819.735352,17.78489304,8.000310898
689,180.3292999,8.962890625,8.924804688,9.129882813,57.30224609,0.153381348,51.95922852,28.65600586,7104.651367,17.76856613,7.964364529
690,180.2378845,8.943359375,8.908203125,9.114257813,57.22038651,0.151794434,51.82495117,28.35693359,7380.228515999999,17.14110374,7.990573883
691,180.4207001,8.944335938,8.907226563,9.084960938,57.15022278,0.150695801,51.72729492,28.49121094,7084.434081999999,17.49152374,7.958443165
692,180.26835630000002,8.965820313,8.924804688,9.103515625,57.24377441,0.152832031,51.92260742,28.62548828,6700.101074,17.49425697,7.960989952
693,180.2988281,8.936523438,8.89453125,9.110351563,57.11513901,0.152770996,51.95922852,28.63769531,7165.387206999999,17.727005,8.008162497999999
694,180.4207001,8.9296875,8.893554688,9.0859375,57.31394196,0.150085449,51.64794922,28.38745117,7402.936523,17.15246391,7.935405731
695,180.2988281,8.93359375,8.896484375,9.083007813,57.16191483,0.150939941,51.65405273,28.28369141,6958.389648,17.16712761,7.979167461
696,180.4511719,8.926757813,8.89453125,9.09375,57.39580154,0.150024414,51.42211914,28.17993164,6924.09668,16.79858971,7.9628696439999995
697,180.35977169999998,8.936523438,8.8984375,9.09375,57.18530273,0.15100097699999998,51.58081055,28.38745117,7040.358887,16.86951447,8.009361267000001
698,180.2988281,8.934570313,8.8984375,9.083007813,57.24377441,0.149902344,51.53198242,28.23486328,7168.367676000001,16.78868294,7.970163822000001
699,180.4207001,8.9453125,8.909179688,9.1015625,57.31394196,0.150695801,51.60522461,28.34472656,7191.320312999999,16.55340958,7.971984862999999
700,180.2988281,8.932617188,8.895507813,9.10546875,57.16191483,0.150085449,51.47094727,28.16772461,7243.750488,16.78607559,7.982430458
701,180.3140564,8.92578125,8.88671875,9.078125,57.27885818,0.148132324,51.35498047,28.02734375,7007.773437999999,15.74092293,7.980687617999999
702,180.40547180000002,8.905273438,8.8671875,9.080078125,57.25547028,0.14587402300000002,50.83618164,27.74047852,6968.907715,15.44345665,7.9480252270000005
703,180.375,8.890625,8.857421875,9.07421875,57.31394196,0.145507813,50.84838867,27.62451172,6986.838867,15.78544235,7.946249485
704,180.2835999,8.905273438,8.870117188,9.078125,57.13852692,0.14654541,51.10473633,27.88696289,6893.175781,16.19449234,7.983223915
705,180.4207001,8.907226563,8.872070313,9.084960938,57.16191483,0.14916992199999998,51.30004883,28.13720703,6802.260742,16.132085800000002,7.994185448
706,180.2988281,8.90234375,8.86328125,9.075195313,57.22038651,0.146606445,50.93383789,27.72216797,6968.469727,16.16931725,7.993985652999999
707,180.35977169999998,8.931640625,8.893554688,9.1015625,57.30224609,0.14904785199999998,51.29394531,28.11279297,6974.160645,17.51067543,8.004878997999999
708,180.26835630000002,8.930664063,8.895507813,9.07421875,57.18530273,0.150512695,51.59912109,28.32641602,6992.951172,16.72053528,8.016980171
709,180.2988281,8.951171875,8.912109375,9.102539063,57.27885818,0.15057373,51.68457031,28.38745117,7107.228515999999,17.33537674,8.029474257999999
710,180.3292999,8.948242188,8.913085938,9.120117188,57.10344315,0.15319824199999998,51.92871094,28.44238281,7009.515137,17.33285522,8.008563995
716,180.4207001,8.90625,8.874023438,9.071289063,57.15022278,0.14770507800000002,51.483154299999995,27.90527344,6972.410156,16.21418381,8.013608932
717,180.4207001,8.951171875,8.913085938,9.114257813,57.33732986,0.151916504,51.22680664,28.01513672,6973.723145,16.40441895,7.96999836
718,180.3292999,8.934570313,8.895507813,9.064453125,57.17361069,0.151367188,51.66625977,27.99682617,6817.049805,16.89847565,8.023729324
719,180.39022830000002,8.9140625,8.879882813,9.071289063,57.06835938,0.150085449,51.446533200000005,27.94799805,7265.205078,16.499897,7.964829922000001
